TribalCededLandsNewOBJECTID,TribalCededLandsNewCESSNUM,TribalCededLandsNewCESSNUMSORT,TribalCededLandsNewSHAPE_Length,TribalCededLandsNewSHAPE_Area,TribalCededLandsTableOBJECTID,TribalCededLandsTableCessNum,TribalCededLandsTableCessNumSort,TribalCededLandsTableMapName,TribalCededLandsTableState,TribalCededLandsTableCounty,TribalCededLandsTableStateCounty,TribalCededLandsTableSchdTrb,TribalCededLandsTablePresDayTrb,TribalCededLandsTableCitation1,TribalCededLandsTableCitation2,TribalCededLandsTableCessDate1,TribalCededLandsTableDate1Link_Royce_Schedule,TribalCededLandsTableDate1Link_Kappler_Treaty,TribalCededLandsTableCessDate2,TribalCededLandsTableDate2Link_Royce_Schedule,TribalCededLandsTableDate2Link_Kappler_Treaty,TribalCededLandsTableCessDate3,TribalCededLandsTableDate3Link_Royce_Schedule,TribalCededLandsTableDate3Link_Kappler_Treaty,TribalCededLandsTableCessDate4,TribalCededLandsTableDate4Link_Royce_Schedule,TribalCededLandsTableDate4Link_Kappler_Treaty,TribalCededLandsTableCessDate5,TribalCededLandsTableDate5Link_Royce_Schedule,TribalCededLandsTableDate5Link_Kappler_Treaty,TribalCededLandsTableMapName1,TribalCededLandsTableMapName2,TribalCededLandsTableMapName3,TribalCededLandsTableMapName4,TribalCededLandsTableMapName5,TribalCededLandsTableMapName6,TribalCededLandsTableMapURL1,TribalCededLandsTableMapURL2,TribalCededLandsTableMapURL3,TribalCededLandsTableMapURL4,TribalCededLandsTableMapURL5,TribalCededLandsTableMapURL6,TribalCededLandsTableLink_Federal_Statute,TribalCededLandsTableLink_Executive_Order,TribalCededLandsTableLink_Other_Treaty
90,209,209,57758.5346747819,155293999.169729,110,209,209,"Indiana, Indiana (Detail)",IN,"Fulton; Marshall","IN:Fulton; IN:Marshall","Potawatomi (Aub-ba-naub-ba's bad, by Pau-koo-shuck, his oldest son)","Citizen Potawatomi Nation, Oklahoma",Tiller 616,,1832/10/26 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/740/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=375",1836/04/11 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/758/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=465",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Indiana (detail),,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=20,,,,,,,,
91,98,98,431096.397385104,5569415316.73154,111,98,98,"Illinois 1, Indiana","IL; IN","Benton; Tippecanoe; Vermilion; Warren; White","IL:Vermilion; IN:Benton; IN:Tippecanoe; IN:Warren; IN:White",Potawatomi,"Citizen Potawatomi Nation, Oklahoma; Forest County Potawatomi Community, Wisconsin; Hannahville Indian Community, Michigan; Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan; Nottawaseppi Huron Band of the Potawatomi, Michigan; Pokagon Band of Potawatomi Indians, Michigan and Indiana; Prairie Band Potawatomi Nation, Kansas","Tiller 404; Tiller 430; Tiller 439; Tiller 440; Tiller 441; Tiller 616; Tiller 789",,1818/10/02 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/692/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=176",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Illinois 1,Indiana,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=17,https://www.loc.gov/resource/g3701em.gct00002/?sp=19,,,,,,,
92,132,132,651443.380803015,5173884628.16792,112,132,132,Indiana,IN,"Allen; Carroll; Cass; Huntington; Miami; Tippecanoe; Wabash; White; Whitley","IN:Allen; IN:Carroll; IN:Cass; IN:Huntington; IN:Miami; IN:Tippecanoe; IN:Wabash; IN:White; IN:Whitley",Potawatomi,"Citizen Potawatomi Nation, Oklahoma; Forest County Potawatomi Community, Wisconsin; Hannahville Indian Community, Michigan; Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan; Nottawaseppi Huron Band of the Potawatomi, Michigan; Pokagon Band of Potawatomi Indians, Michigan and Indiana; Prairie Band Potawatomi Nation, Kansas","Tiller 404; Tiller 430; Tiller 439; Tiller 440; Tiller 441; Tiller 616; Tiller 789",,1826/10/16 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/716/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=281",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Indiana,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=19,,,,,,,,
93,199,199,29780.6476711113,49267664.9350991,113,199,199,"Indiana, Indiana (Detail)",IN,Huntington,IN:Huntington,Miami,Miami Tribe of Oklahoma,,,1826/10/23 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/752/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=433",1834/10/23 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/752/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=433",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Indiana (detail),,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=20,,,,,,,,
94,194,194,33000.0814670607,52125372.3347539,114,194,194,"Indiana, Indiana (Detail)",IN,"Huntington; Whitley","IN:Huntington; IN:Whitley",Miami,Miami Tribe of Oklahoma,,,1826/10/23 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/752/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=433",1834/10/23 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/752/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=433",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Indiana (detail),,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=20,,,,,,,,
95,17,17,17851.2797429539,13706708.3482311,115,17,17,"Indiana, Indiana (Detail)",IN,"Allen; Whitley","IN:Allen; IN:Whitley","Chippewa; Delaware; Eel River; Kaskaskia; Kickapoo; Miami; Ottawa; Piankishaw; Potawatomi; Shawnee; Wea; Wyandot","Absentee-Shawnee Tribe of Indians of Oklahoma; Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bay Mills Indian Community, Michigan; Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota; Chippewa Cree Indians of the Rocky Boy's Reservation, Montana; Citizen Potawatomi Nation, Oklahoma; Delaware Nation, Oklahoma; Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota; Forest County Potawatomi Community, Wisconsin; Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota; Grand Traverse Band of Ottawa and Chippewa Indians, Michigan; Hannahville Indian Community, Michigan; Keweenaw Bay Indian Community, Michigan; Kickapoo Traditional Tribe of Texas; Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas; Kickapoo Tribe of Oklahoma; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan; Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota; Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan; Miami Tribe of Oklahoma; Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota; Minnesota Chippewa Tribe, Minnesota; Nottawaseppi Huron Band of the Potawatomi, Michigan; Ottawa Tribe of Oklahoma; Peoria Tribe of Indians of Oklahoma; Pokagon Band of Potawatomi Indians, Michigan and Indiana; Prairie Band Potawatomi Nation, Kansas; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; Red Lake Band of Chippewa Indians, Minnesota; Saginaw Chippewa Indian Tribe of Michigan; Sault Ste. Marie Tribe of Chippewa Indians of Michigan; Shawnee Tribe, Oklahoma; Sokaogon Chippewa Community, Wisconsin; St. Croix Chippewa Indians of Wisconsin; Turtle Mountain Band of Chippewa Indians of North Dakota; White Earth Band of Minnesota Chippewa Tribe, Minnesota; Wyandotte Nation, Oklahoma","1 Hodge 661-62; 2 Hodge 977; 1 Hodge 589-90; Clark 64; Tiller 402; Tiller 404; Tiller 427; Tiller 428; Tiller 430; Tiller 431; Tiller 433; Tiller 434; Tiller 439; Tiller 440; Tiller 441; Tiller 443; Tiller 445; Tiller 447; Tiller 449; Tiller 451; Tiller 455; Tiller 460; Tiller 464; Tiller 488; Tiller 597; Tiller 601; Tiller 616; Tiller 623; Tiller 632; Tiller 714; Tiller 787; Tiller 789; Tiller 793; Tiller 795; Tiller 802; Tiller 807; Tiller 809","1 Hodge 685; Hodge 419, 729, 854; Tiller 645; Tiller 662; Trigger 745",1795/08/03 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/654/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=47",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Indiana (detail),,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=20,,,,,,,,
96,16,16,55146.728354073,190535434.482889,116,16,16,"Indiana, Indiana (Detail)",IN,Allen,IN:Allen,"Chippewa; Delaware; Eel River; Kaskaskia; Kickapoo; Miami; Ottawa; Piankishaw; Potawatomi; Shawnee; Wea; Wyandot","Absentee-Shawnee Tribe of Indians of Oklahoma; Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bay Mills Indian Community, Michigan; Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota; Chippewa Cree Indians of the Rocky Boy's Reservation, Montana; Citizen Potawatomi Nation, Oklahoma; Delaware Nation, Oklahoma; Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota; Forest County Potawatomi Community, Wisconsin; Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota; Grand Traverse Band of Ottawa and Chippewa Indians, Michigan; Hannahville Indian Community, Michigan; Keweenaw Bay Indian Community, Michigan; Kickapoo Traditional Tribe of Texas; Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas; Kickapoo Tribe of Oklahoma; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan; Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota; Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan; Miami Tribe of Oklahoma; Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota; Minnesota Chippewa Tribe, Minnesota; Nottawaseppi Huron Band of the Potawatomi, Michigan; Ottawa Tribe of Oklahoma; Peoria Tribe of Indians of Oklahoma; Pokagon Band of Potawatomi Indians, Michigan and Indiana; Prairie Band Potawatomi Nation, Kansas; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; Red Lake Band of Chippewa Indians, Minnesota; Saginaw Chippewa Indian Tribe of Michigan; Sault Ste. Marie Tribe of Chippewa Indians of Michigan; Shawnee Tribe, Oklahoma; Sokaogon Chippewa Community, Wisconsin; St. Croix Chippewa Indians of Wisconsin; Turtle Mountain Band of Chippewa Indians of North Dakota; White Earth Band of Minnesota Chippewa Tribe, Minnesota; Wyandotte Nation, Oklahoma","1 Hodge 661-62; 2 Hodge 977; 1 Hodge 589-90; Clark 64; Tiller 402; Tiller 404; Tiller 427; Tiller 428; Tiller 430; Tiller 431; Tiller 433; Tiller 434; Tiller 439; Tiller 440; Tiller 441; Tiller 443; Tiller 445; Tiller 447; Tiller 449; Tiller 451; Tiller 455; Tiller 460; Tiller 464; Tiller 488; Tiller 597; Tiller 601; Tiller 616; Tiller 623; Tiller 632; Tiller 714; Tiller 787; Tiller 789; Tiller 793; Tiller 795; Tiller 802; Tiller 807; Tiller 809","1 Hodge 685; Hodge 419, 729, 854; Tiller 645; Tiller 662; Trigger 745",1795/08/03 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/654/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=47",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Indiana (detail),,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=20,,,,,,,,
97,195,195,27333.8922584886,43236695.8317233,117,195,195,"Indiana, Indiana (Detail)",IN,Miami,IN:Miami,Miami,Miami Tribe of Oklahoma,,,1826/10/23 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/752/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=433",1834/10/23 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/752/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=433",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Indiana (detail),,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=20,,,,,,,,
98,225,225,13755.5708360884,11757669.5894394,118,225,225,"Indiana, Indiana (Detail)",IN,Miami,IN:Miami,Potawatomi,"Citizen Potawatomi Nation, Oklahoma; Forest County Potawatomi Community, Wisconsin; Hannahville Indian Community, Michigan; Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan; Nottawaseppi Huron Band of the Potawatomi, Michigan; Pokagon Band of Potawatomi Indians, Michigan and Indiana; Prairie Band Potawatomi Nation, Kansas","Tiller 404; Tiller 430; Tiller 439; Tiller 440; Tiller 441; Tiller 616; Tiller 789",,1832/10/27 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/742/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=380",1836/09/23 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/762/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=479",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Indiana (detail),,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=20,,,,,,,,
99,224,224,39076.1236413849,56835161.8150278,119,224,224,"Indiana, Indiana (Detail)",IN,Miami,IN:Miami,Potawatomi,"Citizen Potawatomi Nation, Oklahoma; Forest County Potawatomi Community, Wisconsin; Hannahville Indian Community, Michigan; Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan; Nottawaseppi Huron Band of the Potawatomi, Michigan; Pokagon Band of Potawatomi Indians, Michigan and Indiana; Prairie Band Potawatomi Nation, Kansas","Tiller 404; Tiller 430; Tiller 439; Tiller 440; Tiller 441; Tiller 616; Tiller 789",,1832/10/27 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/742/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=380",1836/09/23 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/762/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=479",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Indiana (detail),,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=20,,,,,,,,
100,193,193,53607.9793773102,150912636.812906,120,193,193,"Indiana, Indiana (Detail)",IN,Miami,IN:Miami,Miami,Miami Tribe of Oklahoma,,,1826/10/23 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/752/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=433",1834/10/23 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/752/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=433",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Indiana (detail),,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=20,,,,,,,,
101,252,252,56253.9681496801,178877549.060776,121,252,252,"Indiana, Indiana (Detail)",IN,"Huntington; Wabash","IN:Huntington; IN:Wabash",Miami,Miami Tribe of Oklahoma,,,1818/10/06 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/694/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=179",1838/11/06 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/772/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=527",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Indiana (detail),,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=20,,,,,,,,
102,253,253,71510.6546170852,319253025.978813,122,253,253,"Indiana, Indiana (Detail)",IN,"Allen; Huntington; Wells","IN:Allen; IN:Huntington; IN:Wells",Miami,Miami Tribe of Oklahoma,,,1818/10/06 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/694/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=179",1838/11/06 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/772/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=527",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Indiana (detail),,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=20,,,,,,,,
103,197,197,81200.646467903,102811903.492634,123,197,197,"Indiana, Indiana (Detail)",IN,"Allen; Huntington; Whitley","IN:Allen; IN:Huntington; IN:Whitley",Miami,Miami Tribe of Oklahoma,,,1818/10/06 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/694/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=179",1834/10/23 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/752/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=433",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Indiana (detail),,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=20,,,,,,,,
104,251,251,173718.974854001,854433143.060157,124,251,251,"Indiana, Indiana (Detail)",IN,"Cass; Miami; Wabash","IN:Cass; IN:Miami; IN:Wabash",Miami,Miami Tribe of Oklahoma,,,1818/10/06 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/694/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=179",1838/11/06 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/772/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=527",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Indiana,Indiana (detail),,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=19,https://www.loc.gov/resource/g3701em.gct00002/?sp=20,,,,,,,
105,256,256,41483.7452231901,49910193.2262587,125,256,256,"Indiana, Indiana (Detail)",IN,Wabash,IN:Wabash,Miami,Miami Tribe of Oklahoma,,,1818/10/06 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/694/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=179",1838/11/06 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/774/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=527",1840/11/28 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/774/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=539",1872/06/01 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/856/mode/2up,,1970/01/01 00:00:00+00,,,Indiana,Indiana (detail),,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=19,https://www.loc.gov/resource/g3701em.gct00002/?sp=20,,,,,,,
106,258,258,237001.916494388,3486294731.72411,126,258,258,"Indiana, Indiana (Detail)",IN,"Cass; Clinton; Grant; Howard; Miami; Tipton; Wabash","IN:Cass; IN:Clinton; IN:Grant; IN:Howard; IN:Miami; IN:Tipton; IN:Wabash",Miami,Miami Tribe of Oklahoma,,,1818/10/06 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/694/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=179",1840/11/28 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/774/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=539",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Indiana,Indiana (detail),,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=19,https://www.loc.gov/resource/g3701em.gct00002/?sp=20,,,,,,,
107,198,198,186591.556216974,1144498522.78934,127,198,198,"Indiana, Indiana (Detail)",IN,"Carroll; Cass; Clinton; Howard","IN:Carroll; IN:Cass; IN:Clinton; IN:Howard",Miami,Miami Tribe of Oklahoma,,,1818/10/06 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/694/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=179",1834/10/23 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/752/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=433",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Indiana,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=19,,,,,,,,
108,147,147,720986.174228143,11768758263.9255,39,147,147,"Wisconsin 1, Illinois 2","IL; WI","Carroll; Crawford; Grant; Iowa; Jo Daviess; Lafayette; Rock Island; Stephenson; Whiteside","IL:Carroll; IL:Jo Daviess; IL:Rock Island; IL:Stephenson; IL:Whiteside; WI:Crawford; WI:Grant; WI:Iowa; WI:Lafayette","Chippewa; Ottawa nations of the waters of the Illinois, Milwaukee, and Manitowoc rivers; Potawatomi nations of the waters of the Illinois, Milwaukee, and Manitowoc rivers","Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bay Mills Indian Community, Michigan; Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota; Chippewa Cree Indians of the Rocky Boy's Reservation, Montana; Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota; Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota; Grand Traverse Band of Ottawa and Chippewa Indians, Michigan; Keweenaw Bay Indian Community, Michigan; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan; Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota; Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota; Minnesota Chippewa Tribe, Minnesota; Ottawa Tribe of Oklahoma; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; Red Lake Band of Chippewa Indians, Minnesota; Saginaw Chippewa Indian Tribe of Michigan; Sault Ste. Marie Tribe of Chippewa Indians of Michigan; Sokaogon Chippewa Community, Wisconsin; St. Croix Chippewa Indians of Wisconsin; Turtle Mountain Band of Chippewa Indians of North Dakota; White Earth Band of Minnesota Chippewa Tribe, Minnesota","Tiller 427; Tiller 428; Tiller 431; Tiller 433; Tiller 434; Tiller 443; Tiller 445; Tiller 447; Tiller 449; Tiller 451; Tiller 455; Tiller 460; Tiller 464; Tiller 488; Tiller 597; Tiller 787; Tiller 793; Tiller 795; Tiller 802; Tiller 807; Tiller 809",Trigger 745,1816/08/24 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/682/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=140",1829/07/29 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/722/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=305",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Wisconsin 1,Illinois 2,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=64,https://www.loc.gov/resource/g3701em.gct00002/?sp=18,,,,,,,
109,149,149,1126294.91187614,21055547123.9982,40,149,149,"Illinois 2, Wisconsin 1","IL; WI","Columbia; Dane; Grant; Green; Iowa; Lafayette; Lee; Ogle; Stephenson; Whiteside; Winnebago","IL:Lee; IL:Ogle; IL:Stephenson; IL:Whiteside; IL:Winnebago; WI:Columbia; WI:Dane; WI:Grant; WI:Green; WI:Iowa; WI:Lafayette",Winnebago,"Ho-Chunk Nation of Wisconsin; Winnebago Tribe of Nebraska",,,1829/08/01 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/724/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=291",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Illinois 2,Wisconsin 1,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=18,https://www.loc.gov/resource/g3701em.gct00002/?sp=64,,,,,,,
110,174,174,842779.687178701,17585308513.0169,41,174,174,"Wisconsin 1, Illinois 1","IL; WI","Columbia; Dane; Dodge; Fond du Lac; Green; Green Lake; Jefferson; Marquette; Rock; Winnebago","IL:Winnebago; WI:Columbia; WI:Dane; WI:Dodge; WI:Fond du Lac; WI:Green; WI:Green Lake; WI:Jefferson; WI:Marquette; WI:Rock; WI:Winnebago",Winnebago,"Ho-Chunk Nation of Wisconsin; Winnebago Tribe of Nebraska",,,1832/09/15 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/736/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=353",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Wisconsin 1,Illinois 1,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=64,https://www.loc.gov/resource/g3701em.gct00002/?sp=17,,,,,,,
